DATE,temp,humidity,windspeed,precip,sealevelpressure
2022-04-08,32.1,23.1,18.4,0.0,1006.9
2022-04-09,33.0,23.5,16.6,0.0,1005.0
2022-04-10,33.4,20.9,18.4,0.0,1004.4
2022-04-11,33.7,22.8,18.4,0.0,1003.8
2022-04-12,32.7,22.3,18.4,0.0,1004.0
2022-04-13,32.8,26.0,14.8,0.0,1003.3
2022-04-14,32.3,23.1,27.7,0.149,1003.0
2022-04-15,32.4,27.1,14.8,0.0,1002.9
2022-04-16,32.1,30.0,20.5,0.0,1002.5
2022-04-17,32.6,28.2,9.4,0.0,1003.4
2022-04-18,33.4,27.0,9.4,0.0,1005.2
2022-04-19,34.3,25.8,18.4,0.0,1006.9
2022-04-20,33.8,22.6,19.8,0.0,1005.5
2022-04-21,31.4,28.7,18.4,0.0,1006.8
2022-04-22,31.5,29.3,27.7,0.285,1007.9
2022-04-23,31.7,25.8,18.4,0.0,1007.9
2022-04-24,32.4,23.6,21.0,0.0,1006.0
2022-04-25,33.7,23.5,46.4,0.0,1004.8
2022-04-26,33.5,22.6,16.6,0.0,1005.2
2022-04-27,33.9,23.7,20.5,0.0,1004.8
2022-04-28,34.6,23.3,18.4,0.0,1004.6
2022-04-29,35.8,20.2,16.7,0.0,1003.9
2022-04-30,35.6,17.8,14.8,0.0,1001.2
2022-05-01,33.9,32.4,22.3,0.0,1000.3
2022-05-01,33.9,32.4,22.3,0.0,1000.3
2022-05-02,34.1,41.7,22.3,0.0,1000.4
2022-05-03,33.2,49.2,20.5,0.0,1003.2
2022-05-04,31.1,54.8,27.7,0.97,1005.6
2022-05-05,30.0,53.2,9.8,0.0,1006.2
2022-05-06,32.3,44.5,17.9,0.0,1005.5
2022-05-07,33.4,36.2,11.2,0.0,1005.0
2022-05-08,33.6,39.6,18.4,0.0,1003.3
2022-05-09,33.8,45.3,20.5,0.0,1003.0
2022-05-10,33.8,45.9,22.3,0.0,1003.4
2022-05-11,34.6,44.4,14.8,0.0,1001.4
2022-05-12,35.9,41.8,16.6,0.0,999.7
2022-05-13,35.0,45.9,18.4,0.0,997.4
2022-05-14,37.2,28.4,18.3,0.0,997.6
2022-05-15,37.0,21.3,20.0,0.0,998.7
2022-05-16,37.4,18.1,20.6,0.0,998.9
2022-05-17,34.6,31.2,13.0,0.0,1000.1
2022-05-18,35.8,31.0,27.7,0.0,1001.9
2022-05-19,36.2,32.6,14.8,0.0,1001.2
2022-05-20,37.0,30.6,27.7,0.525,998.2
2022-05-21,34.8,30.8,26.9,0.979,996.1
2022-05-22,32.2,44.9,20.5,0.0,995.3
2022-05-23,25.7,71.2,40.7,18.988,998.7
2022-05-24,26.3,75.1,50.0,17.357,1004.5
2022-05-25,29.1,66.6,13.0,0.0,1005.2
2022-05-26,30.6,59.1,11.2,0.0,1003.0
2022-05-27,32.4,50.5,28.2,0.0,999.8
2022-05-28,34.4,46.6,13.0,0.0,998.0
2022-05-29,34.0,50.4,14.8,0.0,998.2
2022-05-30,31.4,59.4,16.6,15.371,999.6
2022-05-31,32.9,49.2,9.4,0.0,999.8
2022-06-01,35.0,38.7,11.2,0.0,1000.2
2022-06-02,35.4,32.8,10.8,0.0,999.8
2022-06-03,35.6,28.5,15.4,0.0,998.9
2022-06-04,36.5,27.0,16.6,0.0,999.3
2022-06-05,37.3,20.8,17.4,0.0,999.5
2022-06-06,36.8,23.8,18.0,0.0,998.7
2022-06-07,37.3,22.2,23.2,0.0,998.3
2022-06-08,37.3,21.5,29.6,0.0,998.1
2022-06-09,37.5,24.6,16.3,0.0,997.1
2022-06-10,37.8,26.1,30.4,0.0,997.8
2022-06-11,37.7,22.1,27.4,0.0,998.0
2022-06-12,37.7,24.7,21.1,0.0,999.3
2022-06-13,37.6,29.2,16.6,0.0,1001.2
2022-06-14,35.3,38.0,21.4,0.0,1000.8
2022-06-15,36.1,39.3,23.0,0.0,999.0
2022-06-16,34.1,46.1,23.2,0.74,999.8
2022-06-17,29.2,70.8,19.3,17.506,1001.1
2022-06-18,28.9,74.1,18.0,0.618,1002.0
2022-06-19,28.3,74.4,16.6,0.06,1001.4
2022-06-20,29.0,65.6,14.4,0.0,999.7
2022-06-21,30.2,61.2,18.4,0.51,999.0
2022-06-22,31.0,59.3,18.4,0.0,1003.5
2022-06-23,33.1,48.1,20.5,0.0,1004.4
2022-06-24,33.3,38.6,14.8,0.0,1001.9
2022-06-25,34.3,34.8,14.8,0.0,999.2
2022-06-26,35.0,48.0,24.1,0.0,1000.1
2022-06-27,35.7,51.1,18.4,0.0,1001.1
2022-06-28,35.9,53.1,16.6,0.0,998.3
2022-06-29,34.9,53.8,18.4,0.0,995.9
2022-06-30,27.7,88.2,20.5,104.603,999.3
2022-07-01,28.2,88.6,13.0,1.701,999.6
2022-07-02,31.0,72.9,15.3,0.7,997.5
2022-07-03,33.1,57.4,15.8,0.085,997.8
2022-07-04,33.5,64.1,11.2,0.51,998.3
2022-07-05,33.9,64.5,13.7,0.0,998.6
2022-07-06,34.4,63.0,18.4,0.0,1001.0
2022-07-07,34.6,59.3,18.4,0.0,1002.8
2022-07-08,34.9,54.8,14.8,0.0,1000.4
2022-07-09,32.0,66.5,22.3,0.0,998.8
2022-07-10,31.0,73.6,18.4,0.0,1000.4
2022-07-11,31.8,67.9,16.9,0.851,1000.9
2022-07-12,30.3,80.1,14.7,2.149,1000.5
2022-07-13,31.5,73.3,13.0,0.0,998.5
2022-07-14,32.3,67.6,16.6,0.03,997.9
2022-07-15,32.9,63.7,20.5,0.0,999.6
2022-07-16,29.4,80.4,22.3,18.058,1000.9
2022-07-17,29.9,81.9,15.3,10.552,1002.8
2022-07-18,33.2,68.8,13.0,0.0,1001.3
2022-07-19,32.4,73.5,17.1,10.0,999.9
2022-07-20,29.7,84.0,22.3,60.975,999.8
2022-07-21,29.0,84.0,11.2,0.7,1002.5
2022-07-22,29.4,86.7,15.4,7.09,1003.7
2022-07-23,29.7,85.6,18.4,0.568,1002.1
2022-07-24,30.0,82.5,22.5,3.285,1001.9
2022-07-25,30.0,80.3,21.5,2.197,1004.1
2022-07-26,29.4,81.0,20.5,0.0,1005.3
2022-07-27,30.0,80.0,16.6,0.0,1004.7
2022-07-28,28.6,86.3,11.2,17.162,1006.0
2022-07-29,28.0,89.2,11.2,2.448,1005.5
